location_id,alpha,beta,gamma,delta,omicron,ba5
200,,11/15/20,,6/1/21,11/20/21,5/1/22
201,,,,6/1/21,11/7/21,4/9/22
203,,2/15/21,,,11/20/21,4/24/22
202,,1/1/21,,7/15/21,11/20/21,6/17/22
204,,,,,12/4/21,6/15/22
205,,,,6/15/21,11/19/21,5/4/22
206,,,,6/1/21,11/28/21,6/3/22
207,,12/1/20,,5/15/21,11/20/21,5/4/22
208,,,,6/1/21,11/19/21,4/17/22
209,,,,6/1/21,12/2/21,7/1/22
210,,,,5/1/21,11/24/21,7/1/22
211,,1/15/21,,,11/15/21,7/10/22
212,,,,5/15/21,11/25/21,5/25/22
213,,,,7/1/21,11/26/21,7/10/22
214,,,,6/1/21,11/8/21,5/18/22
215,,,,,11/26/21,5/4/22
216,,,,5/15/21,11/24/21,5/1/22
217,,,,4/15/21,11/16/21,5/1/22
218,,1/15/21,,5/15/21,11/15/21,5/1/22
